,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34,The Beatles,Let It Be (Remastered),I've Got A Feeling ,3gwRWIbr5ycEVLIAXrWaw7,0.44,0.609,2,-8.824,1,0.0358,0.0,0.582,0.364,165.156,217560,4
35,The Beatles,Let It Be (Remastered),One After 909 ,50qHmeex1nPTyQTwBXjSE4,0.554,0.828,4,-6.435,1,0.0739,0.0,0.907,0.888,90.95,173960,4
36,The Beatles,Let It Be (Remastered),The Long And Winding Road ,3mlMpmY8oZIBFc39D9zLbh,0.299,0.329,3,-10.096,1,0.0279,0.0105,0.0559,0.392,132.282,218187,4
37,The Beatles,Let It Be (Remastered),For You Blue ,5dpRJkvY8oWMQmQbEQTXhO,0.88,0.556,2,-10.773,1,0.0855,0.0483,0.24,0.955,128.542,152213,4
38,The Beatles,Let It Be (Remastered),Get Back ,4MLBqAEzNN89o2M9h92Z26,0.761,0.592,2,-9.836,1,0.0586,0.00626,0.61,0.332,123.095,189387,4
39,The Beatles,Abbey Road (Remastered),Come Together ,2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.248,0.0926,0.187,165.007,259947,4
40,The Beatles,Abbey Road (Remastered),Something ,0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0,-10.872,1,0.0304,2.62e-06,0.138,0.377,133.522,182293,4
41,The Beatles,Abbey Road (Remastered),Maxwell's Silver Hammer ,2S8xyNRJX1XQdo3qnTuovI,0.764,0.426,2,-11.045,1,0.0405,0.000119,0.132,0.726,131.12,207920,4
42,The Beatles,Abbey Road (Remastered),Oh! Darling ,2mxByJWOajjiVsLWjNXvDJ,0.422,0.656,4,-8.412,1,0.0397,0.0279,0.268,0.549,173.93,207240,3
43,The Beatles,Abbey Road (Remastered),Octopus's Garden ,0suLngfo7rJoetk7Ub6N8l,0.626,0.512,1,-9.15,0,0.0247,4.65e-05,0.215,0.73,92.225,170720,4
44,The Beatles,Abbey Road (Remastered),I Want You (She's So Heavy) ,3Z25k4ZF6QENy2d9YatsM5,0.37,0.515,2,-9.487,0,0.0321,0.205,0.0966,0.42,115.732,467320,4
45,The Beatles,Abbey Road (Remastered),Here Comes The Sun ,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.00248,0.179,0.394,129.171,185733,4
46,The Beatles,Abbey Road (Remastered),Because ,1rxoyGj1QuPoVi8fOft1Kt,0.328,0.249,2,-11.777,1,0.0272,5.77e-06,0.134,0.162,81.257,165667,4
47,The Beatles,Abbey Road (Remastered),You Never Give Me Your Money ,1jOLTO379yIu9aMnCkpMQl,0.335,0.416,0,-11.051,1,0.0348,0.136,0.116,0.223,174.464,242973,3
48,The Beatles,Abbey Road (Remastered),Sun King ,4nwKdZID1ht0lDBJ5h2p87,0.483,0.177,2,-17.629,1,0.0277,0.499,0.116,0.192,74.994,146267,4
49,The Beatles,Abbey Road (Remastered),Mean Mr Mustard ,4JOyMhad5dD81uGYLGgKrS,0.676,0.596,4,-9.107,1,0.0272,1.96e-05,0.351,0.97,100.687,66533,4
50,The Beatles,Abbey Road (Remastered),Polythene Pam ,1FTCA6wQwulQFokDddKE68,0.474,0.939,11,-8.884,0,0.199,0.674,0.19,0.499,166.829,72640,4
51,The Beatles,Abbey Road (Remastered),She Came In Through The Bathroom Window ,2jtUGFsqanQ82zqDlhiKIp,0.53,0.72,2,-8.793,1,0.0338,3.38e-05,0.314,0.69,80.652,118627,4
52,The Beatles,Abbey Road (Remastered),Golden Slumbers ,01SfTM5nfCou5gQL70r6gs,0.419,0.152,0,-12.126,1,0.0277,0.0034,0.113,0.239,80.608,91760,4
53,The Beatles,Abbey Road (Remastered),Carry That Weight ,5eZrW59C3UgBhkqNlowEID,0.543,0.458,0,-8.976,1,0.0274,0.00663,0.298,0.704,84.319,96467,4
54,The Beatles,Abbey Road (Remastered),The End ,5aHHf6jrqDRb1fcBmue2kn,0.647,0.487,11,-10.119,0,0.0689,0.285,0.138,0.222,123.444,141613,1
55,The Beatles,Abbey Road (Remastered),Her Majesty ,6UCFZ9ZOFRxK8oak7MdPZu,0.703,0.215,2,-23.03,1,0.0892,1.23e-06,0.13,0.522,100.874,25987,3
56,The Beatles,Yellow Submarine (Remastered),Yellow Submarine ,3oEo8Pqm5IAi8wQfCI5BpR,0.605,0.536,1,-10.069,1,0.0421,0.0,0.528,0.688,110.849,159720,4
57,The Beatles,Yellow Submarine (Remastered),Only A Northern Song ,4phXWLTSlC1BEogSWhJMDD,0.175,0.731,9,-8.341,1,0.0705,0.000751,0.0846,0.801,209.242,204493,4
58,The Beatles,Yellow Submarine (Remastered),All Together Now ,2ck8lFrYAch2GPtdhpTHe3,0.587,0.431,2,-9.495,1,0.0686,0.0,0.561,0.778,95.937,130893,4
59,The Beatles,Yellow Submarine (Remastered),Hey Bulldog ,5xYC2ZJJ9TMJL8BOl85O2R,0.587,0.617,7,-9.164,1,0.028,0.639,0.199,0.947,100.495,191307,4
60,The Beatles,Yellow Submarine (Remastered),It's All Too Much ,2bQZ9BBhP7vSBiyDz7KXnv,0.39,0.781,7,-7.878,1,0.0364,0.412,0.1,0.199,113.511,385013,4
61,The Beatles,Yellow Submarine (Remastered),All You Need Is Love ,2Z8cY4QpZTFUZxCQCpvNe1,0.4,0.463,7,-8.455,1,0.0288,4.59e-05,0.286,0.627,103.103,231213,4
62,The Beatles,Yellow Submarine (Remastered),Pepperland ,1y8kq7M3tBw4zAttsZMya8,0.354,0.281,7,-12.434,1,0.032,0.763,0.243,0.367,113.126,140733,4
63,The Beatles,Yellow Submarine (Remastered),Sea Of Time ,6FvhNdlAom6yYHa8ekAaAM,0.237,0.096,2,-20.629,0,0.0387,0.0961,0.203,0.0629,128.054,180213,4
64,The Beatles,Yellow Submarine (Remastered),Sea Of Holes ,6n42oei7aEx2I0dcluKAGx,0.249,0.0994,6,-19.266,0,0.04,0.926,0.454,0.0357,118.99,136693,3
